Age,Name,Country,Sex,Date of Birth,Height cm,Weight kg,Medal winner,Gold,Silver,Bronze,Total,Sport,Number of events,Event,BMI,BMI classification
25,Sam Webster,New Zealand,M,7/16/1991,183,80,Yes,0,1,0,1,Cycling,3,"Cycling Track Men's Sprint
,Cycling Track Men's Keirin
,Cycling Track Men's Team Sprint",23.88844098,Normal
22,Airi Hatakeyama,Japan,F,8/16/1994,171,46,No,0,0,0,0,Gymnastics,1,Rhythmic Gymnastics Group All-Around,15.73133614,Underweight
28,Pavel Sukhov,Russian Federation,M,5/07/1988,179,75,No,0,0,0,0,Fencing,2,"Fencing Men's Épée Individual
,Fencing Men's Épée Team",23.40750913,Normal
19,Eliza McCartney,New Zealand,F,12/11/1996,179,66,Yes,0,0,1,1,Athletics,1,Athletics Women's Pole Vault,20.59860803,Normal
21,Mathilde Cini,France,F,11/18/1994,166,62,No,0,0,0,0,Aquatics,1,Swimming Women's 4 x 100m Freestyle Relay,22.4996371,Normal
31,Birgit Michels,Germany,F,11/28/1984,178,70,No,0,0,0,0,Badminton,1,Badminton Mixed Doubles,22.09317005,Normal
34,Pablo Feijoo,Spain,M,5/18/1982,174,74,No,0,0,0,0,Rugby Sevens,1,Rugby Sevens Men,24.44180209,Normal
20,Chloe Tutton,Great Britain,F,7/17/1996,168,62,No,0,0,0,0,Aquatics,3,"Swimming Women's 100m Breaststroke
,Swimming Women's 200m Breaststroke
,Swimming Women's 4 x 100m Medley Relay",21.96712018,Normal
24,Brendon Rodney,Canada,M,4/09/1992,195,80,Yes,0,0,1,1,Athletics,2,"Athletics Men's 200m
,Athletics Men's 4 x 100m Relay",21.03879027,Normal
19,Timm Herzbruch,Germany,M,6/07/1997,180,76,Yes,0,0,1,1,Hockey,1,Hockey Men,23.45679012,Normal
29,Ana Zaninovic,Croatia,F,6/26/1987,172,55,No,0,0,0,0,Taekwondo,1,Taekwondo Women -57kg,18.59113034,Normal
23,Nicolai Poulsen,Denmark,M,8/15/1993,177,65,No,0,0,0,0,Football,1,Football Men,20.74755019,Normal
27,Dean Bombac,Slovenia,M,4/04/1989,189,94,No,0,0,0,0,Handball,1,Handball Men,26.31505277,Overweight
27,Roberta Bianconi,Italy,F,7/08/1989,176,76,Yes,0,1,0,1,Aquatics,1,Water Polo Women,24.53512397,Normal
26,Wei Hong,China,M,10/04/1989,192,86,No,0,0,0,0,Badminton,1,Badminton Men's Doubles,23.32899306,Normal
21,Risako Kawai,Japan,F,11/21/1994,160,61,Yes,1,0,0,1,Wrestling,1,Wrestling Women's Freestyle 63 kg,23.828125,Normal
28,Hannah Kruger,Germany,F,11/04/1988,173,67,Yes,0,0,1,1,Hockey,1,Hockey Women,22.38631428,Normal
21,Nicole van der Velden,Aruba,F,10/26/1994,168,62,No,0,0,0,0,Sailing,1,Sailing Nacra 17 Mixed,21.96712018,Normal
26,Jeremy Taiwo,United States,M,1/15/1990,194,90,No,0,0,0,0,Athletics,1,Athletics Men's Decathlon,23.91327452,Normal
28,null,Egypt,M,7/04/1988,193,95,No,0,0,0,0,Rowing,1,Rowing Men's Single Sculls,25.50404038,Overweight
30,Belen Succi,Argentina,F,10/16/1985,177,72,No,0,0,0,0,Hockey,1,Hockey Women,22.98190175,Normal
35,Ali Yousef Al Rumaihi,Qatar,M,8/26/1981,177,86,No,0,0,0,0,Equestrian,2,"Equestrian Jumping Individual
,Equestrian Jumping Team",27.45060487,Overweight
30,Steffen Weinhold,Germany,M,7/19/1986,191,94,Yes,0,0,1,1,Handball,1,Handball Men,25.76683753,Overweight
22,Judit Ignacio Sorribes,Spain,F,3/18/1994,165,58,No,0,0,0,0,Aquatics,2,"Swimming Women's 100m Butterfly
,Swimming Women's 200m Butterfly",21.30394858,Normal
29,Hela Riabi,Tunisia,F,2/18/1987,165,63,No,0,0,0,0,Wrestling,1,Wrestling Women's Freestyle 63 kg,23.14049587,Normal
30,Kirill Lyapunov,Russian Federation,M,3/24/1986,180,81,No,0,0,0,0,Canoe,2,"Canoe Sprint Men's Kayak Double 1000m
,Canoe Sprint Men's Kayak Four 1000m",25,Overweight
28,Tommy Sugiarto,Indonesia,M,5/31/1988,175,71,No,0,0,0,0,Badminton,1,Badminton Men's Singles,23.18367347,Normal
34,Carli Lloyd,United States,F,7/16/1982,172,61,No,0,0,0,0,Football,1,Football Women,20.61925365,Normal
24,Bodo Essissima Madeleine Samantha,Cameroon,F,4/29/1992,182,75,No,0,0,0,0,Volleyball,1,Volleyball Women,22.64219297,Normal
26,Itzel Adilene Manjarrez Bastidas,Mexico,F,4/10/1990,171,49,No,0,0,0,0,Taekwondo,1,Taekwondo Women -49kg,16.75729284,Underweight
47,Catriona Matthew,Great Britain,F,8/25/1969,163,60,No,0,0,0,0,Golf,1,Golf Women's Individual Stroke Play,22.58270917,Normal
31,Morten Joergensen,Denmark,M,6/23/1985,183,73,Yes,0,1,0,1,Rowing,1,Rowing Lightweight Men's Four,21.79820239,Normal
28,Malgorzata Kozaczuk,Poland,F,6/06/1988,170,60,No,0,0,0,0,Fencing,2,"Fencing Women's Sabre Individual
,Fencing Women's Sabre Team",20.76124567,Normal
28,Hyoju An,South Korea,F,11/25/1987,168,54,No,0,0,0,0,Hockey,1,Hockey Women,19.13265306,Normal
26,null,Mongolia,F,5/03/1990,170,67,No,0,0,0,0,Wrestling,1,Wrestling Women's Freestyle 63 kg,23.183391,Normal
36,null,Switzerland,F,2/13/1980,168,53,No,0,0,0,0,Athletics,1,Athletics Women's Marathon,18.77834467,Normal
30,null,Italy,F,12/24/1985,178,75,Yes,0,1,0,1,Aquatics,1,Water Polo Women,23.67125363,Normal
28,Hiroshi Nakano,Japan,M,12/01/1987,176,72,No,0,0,0,0,Rowing,1,Rowing Lightweight Men's Double Sculls,23.24380165,Normal
24,Tamas Somoracz,Hungary,M,4/11/1992,195,92,No,0,0,0,0,Canoe,1,Canoe Sprint Men's Kayak Four 1000m,24.19460881,Normal
32,Michal Golas,Poland,M,4/29/1984,180,66,No,0,0,0,0,Cycling,1,Cycling Road Men's Road Race,20.37037037,Normal
29,Laetitia Kamba,France,F,1/10/1987,187,78,No,0,0,0,0,Basketball,1,Basketball Women,22.30547056,Normal
25,Gili Cohen,Israel,F,6/19/1991,160,52,No,0,0,0,0,Judo,1,Judo Women -52 kg,20.3125,Normal
22,Kim Tuan Thach,Vietnam,M,1/15/1994,160,56,No,0,0,0,0,Weightlifting,1,Weightlifting Men's 56kg,21.875,Normal
38,Anne-Mari Hyrylainen,Finland,F,8/15/1978,168,50,No,0,0,0,0,Athletics,1,Athletics Women's Marathon,17.7154195,Underweight
